application_id,net_monthly_income,monthly_debt_payment,monthly_expenses,property_value,requested_amount,requested_term_months,active_loan_count,has_late_payments,employment_tenure_months,average_monthly_balance,estimated_monthly_payment,debt_to_income_ratio,loan_to_value_ratio,payment_to_income_ratio,expense_to_income_ratio,total_obligations_to_income_ratio,employment_stability_score,banking_capacity_score,credit_history_score,default_flag,recommended_amount
APP-000010,11314.07,47.15,4253.42,534456.97,409932.81,120,1,0,54,17112.59,3416.11,0.0042,0.767,0.3019,0.3759,0.682,80,75,92,0,377000.0
APP-000011,10988.93,5574.5,5764.64,1120753.61,844308.14,240,1,0,13,33843.53,3517.95,0.5073,0.7533,0.3201,0.5246,1.352,60,100,92,1,0.0
APP-000012,8711.3,584.05,5156.99,713092.52,577108.61,120,1,1,18,12207.37,4809.24,0.067,0.8093,0.5521,0.592,1.2111,60,75,57,1,169000.0
APP-000013,12107.17,5082.43,4915.91,845280.0,797917.17,120,1,0,26,6799.18,6649.31,0.4198,0.944,0.5492,0.406,1.375,80,55,92,1,0.0
APP-000014,9996.03,891.92,3813.35,985847.84,731720.12,300,0,0,21,6245.96,2439.07,0.0892,0.7422,0.244,0.3815,0.7147,60,55,100,0,732000.0
APP-000015,5750.26,1118.17,2896.04,419006.57,295527.32,240,0,0,22,6931.64,1231.36,0.1945,0.7053,0.2141,0.5036,0.9122,60,75,100,0,215000.0
APP-000016,9680.0,2976.88,3668.6,672706.98,616289.43,240,1,0,64,193.6,2567.87,0.3075,0.9161,0.2653,0.379,0.9518,100,30,92,1,91000.0
APP-000017,5431.58,571.25,1985.8,315653.84,266974.19,180,0,0,40,3924.36,1483.19,0.1052,0.8458,0.2731,0.3656,0.7438,80,55,100,1,239000.0
APP-000018,11311.04,5009.77,6627.61,910236.88,617388.76,240,0,0,36,8398.24,2572.45,0.4429,0.6783,0.2274,0.5859,1.2563,80,55,100,1,0.0
APP-000019,8340.24,1923.28,5183.99,655366.27,472305.59,300,3,0,56,11391.19,1574.35,0.2306,0.7207,0.1888,0.6216,1.0409,80,75,76,1,227000.0
APP-000020,7908.44,2250.1,4693.14,555680.58,414204.03,240,2,0,58,22915.78,1725.85,0.2845,0.7454,0.2182,0.5934,1.0962,80,75,84,1,104000.0
APP-000021,6321.03,1153.81,2484.69,352588.35,270447.85,240,2,0,33,7581.03,1126.87,0.1825,0.767,0.1783,0.3931,0.7539,80,75,84,0,213000.0
APP-000022,12412.13,3875.33,1489.46,897877.98,488124.2,240,1,0,85,248.24,2033.85,0.3122,0.5436,0.1639,0.12,0.5961,100,30,92,1,104000.0
APP-000023,8005.51,3530.68,3172.48,550327.45,285882.46,180,3,1,41,2621.67,1588.24,0.441,0.5195,0.1984,0.3963,1.0357,80,55,41,1,0.0
APP-000024,7129.35,1437.42,2129.7,327932.05,198280.61,240,2,0,67,9881.7,826.17,0.2016,0.6046,0.1159,0.2987,0.6162,100,75,84,0,167000.0
APP-000025,7373.17,3407.58,2943.69,320787.41,190735.06,300,4,0,31,9096.25,635.78,0.4622,0.5946,0.0862,0.3992,0.9476,80,75,68,1,0.0
APP-000026,10203.39,1371.1,3189.84,818033.9,520517.32,240,0,0,54,26651.35,2168.82,0.1344,0.6363,0.2126,0.3126,0.6596,80,75,100,0,521000.0
APP-000027,9669.42,3161.64,4029.07,224001.91,179764.3,180,0,0,71,19474.89,998.69,0.327,0.8025,0.1033,0.4167,0.8469,100,75,100,1,40000.0
APP-000028,9820.74,2833.05,2491.68,723763.22,505215.11,240,0,0,66,19514.84,2105.06,0.2885,0.698,0.2143,0.2537,0.7565,100,75,100,0,145000.0
APP-000029,9878.63,695.44,2124.75,606493.43,452159.83,240,2,0,63,9429.94,1884.0,0.0704,0.7455,0.1907,0.2151,0.4762,100,55,84,0,380000.0
APP-000030,15353.27,3837.29,9451.94,1436274.66,805521.08,300,1,0,30,32843.86,2685.07,0.2499,0.5608,0.1749,0.6156,1.0404,80,75,92,1,424000.0
APP-000031,7199.47,1591.31,1906.81,440014.25,290403.47,240,1,0,20,2474.24,1210.01,0.221,0.66,0.1681,0.2649,0.654,60,55,92,0,205000.0
APP-000032,6860.82,689.88,2881.91,561700.51,447306.55,180,1,0,18,13868.91,2485.04,0.1006,0.7963,0.3622,0.4201,0.8828,60,75,92,0,283000.0
APP-000033,5895.93,1592.61,3376.73,370591.76,295489.05,180,2,0,35,5281.71,1641.61,0.2701,0.7973,0.2784,0.5727,1.1213,80,55,84,0,71000.0
APP-000034,10471.13,2518.1,5929.68,754418.69,472119.29,240,2,0,33,209.42,1967.16,0.2405,0.6258,0.1879,0.5663,0.9946,80,30,84,1,231000.0
APP-000035,12112.71,2541.71,6627.78,1008541.38,747345.41,120,2,0,59,20396.75,6227.88,0.2098,0.741,0.5142,0.5472,1.2712,80,75,84,1,171000.0
APP-000036,8135.37,1711.67,3811.08,501740.67,491705.86,240,2,1,47,19588.25,2048.77,0.2104,0.98,0.2518,0.4685,0.9307,80,75,49,1,134000.0
APP-000037,5811.5,1205.3,3114.04,511051.55,366787.97,240,0,0,19,4556.55,1528.28,0.2074,0.7177,0.263,0.5358,1.0062,60,55,100,1,199000.0
APP-000038,5861.66,987.82,3749.67,305471.26,192411.98,240,1,0,78,14985.25,801.72,0.1685,0.6299,0.1368,0.6397,0.945,100,75,92,1,177000.0
APP-000039,10581.9,2535.18,5164.0,796845.1,555728.45,180,0,0,53,211.64,3087.38,0.2396,0.6974,0.2918,0.488,1.0193,80,30,100,0,210000.0
APP-000040,10878.41,1412.58,1371.2,942152.35,689639.52,240,1,0,28,792.88,2873.5,0.1299,0.732,0.2641,0.126,0.52,80,30,92,1,529000.0
APP-000041,10238.09,6060.47,3434.21,838302.02,587103.23,240,0,0,31,10421.83,2446.26,0.592,0.7003,0.2389,0.3354,1.1663,80,75,100,0,0.0
APP-000042,6370.37,144.56,3385.34,665678.12,476574.87,180,1,0,99,5200.21,2647.64,0.0227,0.7159,0.4156,0.5314,0.9697,100,55,92,1,345000.0
APP-000043,9242.92,1276.79,2954.63,519988.83,276817.05,240,2,0,21,5079.72,1153.4,0.1381,0.5324,0.1248,0.3197,0.5826,60,55,84,0,233000.0
APP-000044,8873.39,1323.88,6026.96,400858.38,238453.83,240,0,0,102,11271.96,993.56,0.1492,0.5949,0.112,0.6792,0.9404,100,75,100,0,238000.0
APP-000045,9199.8,4652.06,3770.92,479327.87,335810.6,240,1,0,39,6203.14,1399.21,0.5057,0.7006,0.1521,0.4099,1.0677,80,55,92,0,0.0
APP-000046,11288.57,397.14,4895.17,924398.21,645706.17,120,2,0,41,9334.78,5380.88,0.0352,0.6985,0.4767,0.4336,0.9455,80,55,84,0,358000.0
APP-000047,9215.51,2576.92,5528.93,727680.41,470369.27,180,2,0,56,12907.08,2613.16,0.2796,0.6464,0.2836,0.6,1.1631,80,75,84,1,98000.0
APP-000048,10672.52,2719.09,4170.22,766720.7,534395.3,240,2,0,15,5861.53,2226.65,0.2548,0.697,0.2086,0.3907,0.8542,60,55,84,1,205000.0
APP-000049,8716.25,2324.66,3906.66,433954.11,315889.05,120,0,0,52,9192.02,2632.41,0.2667,0.7279,0.302,0.4482,1.0169,80,75,100,0,87000.0
APP-000050,9425.18,3704.93,5314.48,789864.29,660029.36,240,0,0,70,5363.07,2750.12,0.3931,0.8356,0.2918,0.5639,1.2487,100,55,100,1,0.0
APP-000051,10520.12,4105.12,1940.3,504495.77,356730.21,240,1,0,34,683.19,1486.38,0.3902,0.7071,0.1413,0.1844,0.7159,80,30,92,0,0.0
APP-000052,3837.1,601.91,1436.43,348643.22,269111.92,120,2,0,45,7050.03,2242.6,0.1569,0.7719,0.5845,0.3744,1.1157,80,75,84,1,75000.0
APP-000053,7477.05,1848.05,4132.3,907967.54,589808.41,240,1,0,136,20090.95,2457.54,0.2472,0.6496,0.3287,0.5527,1.1285,100,75,92,0,170000.0
APP-000054,6994.81,0.0,3011.24,535775.12,425604.99,300,2,0,74,14745.86,1418.68,0.0,0.7944,0.2028,0.4305,0.6333,100,75,84,0,358000.0
APP-000055,6455.59,1509.79,4226.95,519648.9,399529.43,240,2,0,25,9351.21,1664.71,0.2339,0.7688,0.2579,0.6548,1.1465,80,75,84,1,151000.0
APP-000056,7619.54,829.32,1278.96,465771.53,387780.98,240,1,0,33,4363.14,1615.75,0.1088,0.8326,0.2121,0.1679,0.4887,80,55,92,0,343000.0
APP-000057,13283.81,2575.82,1987.25,497029.25,403960.45,240,4,0,38,11846.15,1683.17,0.1939,0.8127,0.1267,0.1496,0.4702,80,55,68,0,270000.0
APP-000058,5729.34,0.0,3111.89,338896.51,269943.15,180,1,0,77,12039.17,1499.68,0.0,0.7965,0.2618,0.5431,0.8049,100,75,92,0,248000.0
APP-000059,11598.49,3209.1,6478.1,583727.52,412815.45,120,1,0,25,231.97,3440.13,0.2767,0.7072,0.2966,0.5585,1.1318,80,30,92,1,94000.0
APP-000060,3114.82,0.0,1211.91,136908.4,102933.5,240,0,0,66,2563.7,428.89,0.0,0.7518,0.1377,0.3891,0.5268,100,55,100,0,103000.0
APP-000061,7428.37,1788.45,3595.8,750283.57,643935.5,180,0,0,66,13450.58,3577.42,0.2408,0.8583,0.4816,0.4841,1.2064,100,75,100,1,146000.0
APP-000062,9020.81,435.61,4864.32,675762.62,429264.9,180,0,0,47,1132.54,2384.8,0.0483,0.6352,0.2644,0.5392,0.8519,80,30,100,1,429000.0
APP-000063,10375.91,1048.49,3006.75,797226.69,508875.37,120,0,0,79,15886.03,4240.63,0.1011,0.6383,0.4087,0.2898,0.7995,100,75,100,1,310000.0
APP-000064,10775.93,4112.77,3307.18,694374.72,516327.38,240,0,0,26,16048.48,2151.36,0.3817,0.7436,0.1996,0.3069,0.8882,80,75,100,0,0.0
APP-000065,11038.71,3337.1,4971.35,738360.85,571481.23,120,2,1,88,220.77,4762.34,0.3023,0.774,0.4314,0.4504,1.1841,100,30,49,0,31000.0
APP-000066,7384.08,2812.51,4169.45,645087.33,395352.19,240,2,0,13,9069.72,1647.3,0.3809,0.6129,0.2231,0.5647,1.1686,60,75,84,1,0.0
APP-000067,7020.47,3077.51,1638.91,487346.8,346153.11,180,1,0,25,4172.26,1923.07,0.4384,0.7103,0.2739,0.2334,0.9457,80,55,92,0,0.0
APP-000068,11245.52,1257.28,4366.96,894609.35,633186.75,240,1,0,13,17143.67,2638.28,0.1118,0.7078,0.2346,0.3883,0.7347,60,75,92,0,583000.0
APP-000069,7887.83,3390.63,3004.65,524318.97,226512.92,180,3,0,27,13825.86,1258.41,0.4299,0.432,0.1595,0.3809,0.9703,80,75,76,0,0.0
APP-000070,4417.8,65.51,2150.91,282038.11,195016.03,180,2,0,67,6666.66,1083.42,0.0148,0.6915,0.2452,0.4869,0.7469,100,75,84,0,164000.0
APP-000071,4873.48,1581.22,2040.08,217725.42,152309.53,240,0,0,57,5922.9,634.62,0.3245,0.6995,0.1302,0.4186,0.8733,80,75,100,0,30000.0
APP-000072,5557.75,838.85,1848.83,191189.57,133672.46,240,1,1,52,7836.34,556.97,0.1509,0.6992,0.1002,0.3327,0.5838,80,75,57,1,76000.0
APP-000073,10090.91,905.74,6254.05,658854.83,595650.13,180,1,0,27,923.74,3309.17,0.0898,0.9041,0.3279,0.6198,1.0375,80,30,92,1,435000.0
APP-000074,8955.76,2740.69,2988.71,636010.84,357403.89,240,3,1,44,10051.26,1489.18,0.306,0.5619,0.1663,0.3337,0.806,80,75,41,0,39000.0
APP-000075,10709.55,3772.9,3997.5,501738.92,307465.14,240,2,1,88,4639.0,1281.1,0.3523,0.6128,0.1196,0.3733,0.8452,100,55,49,1,0.0
APP-000076,7132.79,2483.19,1179.48,494869.17,188255.43,180,1,0,28,14824.69,1045.86,0.3481,0.3804,0.1466,0.1654,0.6601,80,75,92,1,2000.0
APP-000077,9007.33,2252.56,2754.62,639227.9,420280.09,240,2,0,29,15897.16,1751.17,0.2501,0.6575,0.1944,0.3058,0.7503,80,75,84,0,181000.0
APP-000078,10501.89,2504.43,5277.96,327573.42,219004.56,120,6,0,30,18508.12,1825.04,0.2385,0.6686,0.1738,0.5026,0.9148,80,75,52,0,73000.0
APP-000079,7510.09,2206.17,3539.48,401998.32,262787.5,240,1,1,51,20218.23,1094.95,0.2938,0.6537,0.1458,0.4713,0.9109,80,75,57,0,58000.0
APP-000080,9961.68,2615.21,5139.46,770344.25,665575.93,120,0,0,64,8497.52,5546.47,0.2625,0.864,0.5568,0.5159,1.3352,100,55,100,1,105000.0
APP-000081,6381.84,1887.68,3242.98,491191.21,408612.28,240,0,0,72,4185.8,1702.55,0.2958,0.8319,0.2668,0.5082,1.0707,100,55,100,0,83000.0
APP-000082,7338.23,1823.99,5533.27,361289.21,263784.98,180,1,0,38,6103.63,1465.47,0.2486,0.7301,0.1997,0.754,1.2023,80,55,92,1,123000.0
APP-000083,7278.44,2460.04,2186.03,530249.29,356232.24,240,0,0,36,145.57,1484.3,0.338,0.6718,0.2039,0.3003,0.8423,80,30,100,1,21000.0
APP-000084,4673.31,0.0,751.9,413136.44,352572.56,240,0,1,32,93.47,1469.05,0.0,0.8534,0.3143,0.1609,0.4752,80,30,65,1,215000.0
APP-000085,10058.31,2027.97,2533.8,844770.6,606065.02,300,3,0,61,17189.58,2020.22,0.2016,0.7174,0.2009,0.2519,0.6544,100,75,76,1,340000.0
APP-000086,6997.91,183.78,2151.27,477851.45,293221.54,240,0,0,16,139.96,1221.76,0.0263,0.6136,0.1746,0.3074,0.5083,60,30,100,1,293000.0
APP-000087,8539.98,2209.62,2255.47,525861.52,261294.11,240,1,0,41,1559.22,1088.73,0.2587,0.4969,0.1275,0.2641,0.6503,80,30,92,0,172000.0
APP-000088,10038.39,4515.97,4366.56,588970.36,390268.91,180,3,0,42,10625.15,2168.16,0.4499,0.6626,0.216,0.435,1.1008,80,75,76,0,0.0
APP-000089,9928.9,1525.36,6160.14,778631.83,637001.56,180,0,0,67,7734.56,3538.9,0.1536,0.8181,0.3564,0.6204,1.1305,100,55,100,0,351000.0
APP-000090,10629.23,2527.79,7082.74,781374.76,765747.27,120,1,0,19,20696.04,6381.23,0.2378,0.98,0.6003,0.6663,1.5045,60,75,92,1,132000.0
APP-000091,8184.85,2667.51,4098.07,665667.6,484612.24,240,2,0,70,9857.95,2019.22,0.3259,0.728,0.2467,0.5007,1.0733,100,75,84,0,40000.0
APP-000092,7145.45,0.0,5449.14,517142.53,320888.89,240,0,0,59,3082.39,1337.04,0.0,0.6205,0.1871,0.7626,0.9497,80,55,100,1,321000.0
APP-000093,8244.9,1211.21,2992.74,698654.43,395406.63,240,1,0,119,16691.55,1647.53,0.1469,0.566,0.1998,0.363,0.7097,100,75,92,0,364000.0
APP-000094,3100.53,840.34,492.35,222316.25,176019.81,240,3,0,106,5599.28,733.42,0.271,0.7918,0.2365,0.1588,0.6664,100,75,76,1,45000.0
APP-000095,3869.24,0.0,2277.08,325497.49,159689.04,240,0,0,85,77.38,665.37,0.0,0.4906,0.172,0.5885,0.7605,100,30,100,0,160000.0
APP-000096,4267.36,355.24,536.94,365605.36,289393.05,180,3,1,10,5876.33,1607.74,0.0832,0.7915,0.3768,0.1258,0.5858,35,75,41,1,84000.0
APP-000097,5308.81,1986.13,1588.39,294737.29,243542.16,120,1,1,20,2688.55,2029.52,0.3741,0.8263,0.3823,0.2992,1.0556,60,55,57,1,0.0
APP-000098,9779.28,3524.64,4921.11,366267.26,284485.76,240,2,0,79,4720.52,1185.36,0.3604,0.7767,0.1212,0.5032,0.9848,100,55,84,1,0.0
APP-000099,5602.47,1526.14,2261.26,547825.31,378790.52,180,1,0,41,15869.34,2104.39,0.2724,0.6914,0.3756,0.4036,1.0516,80,75,92,0,72000.0
APP-000100,7289.88,2504.13,2839.03,543969.79,431608.63,120,0,0,106,9198.69,3596.74,0.3435,0.7934,0.4934,0.3894,1.2263,100,75,100,1,6000.0
APP-000101,12657.53,3165.83,2924.82,495406.3,367701.45,300,0,1,47,12078.01,1225.67,0.2501,0.7422,0.0968,0.2311,0.578,80,55,65,0,239000.0
APP-000102,7359.96,2191.47,3078.46,420630.64,260304.7,300,2,1,66,9026.66,867.68,0.2978,0.6188,0.1179,0.4183,0.8339,100,75,49,1,57000.0
APP-000103,10860.05,1909.29,6305.19,911090.17,875150.94,240,0,0,63,21033.92,3646.46,0.1758,0.9606,0.3358,0.5806,1.0922,100,75,100,0,454000.0
APP-000104,5512.42,1302.11,2332.83,358119.09,241473.14,180,0,0,47,2858.5,1341.52,0.2362,0.6743,0.2434,0.4232,0.9028,80,55,100,0,113000.0
APP-000105,7842.6,1031.05,2252.11,476695.92,391294.79,240,0,0,80,5272.07,1630.39,0.1315,0.8208,0.2079,0.2872,0.6265,100,55,100,0,381000.0
APP-000106,5459.93,2166.98,1203.33,519871.95,210849.74,180,1,0,69,9505.76,1171.39,0.3969,0.4056,0.2145,0.2204,0.8318,100,75,92,1,0.0
APP-000107,7415.09,3210.87,2153.82,379273.4,336013.94,240,0,1,22,148.3,1400.06,0.433,0.8859,0.1888,0.2905,0.9123,60,30,65,1,0.0
APP-000108,11188.99,4623.15,5401.74,622479.54,567041.07,180,0,1,141,22844.49,3150.23,0.4132,0.9109,0.2815,0.4828,1.1775,100,75,65,0,0.0
APP-000109,2972.57,484.13,1411.9,219390.74,158812.22,300,2,1,20,59.45,529.37,0.1629,0.7239,0.1781,0.475,0.8159,60,30,49,0,78000.0
APP-000110,9890.16,855.22,2887.12,761820.78,603849.8,300,2,0,29,9186.07,2012.83,0.0865,0.7926,0.2035,0.2919,0.5819,80,55,84,0,507000.0
APP-000111,9260.75,3692.97,1111.29,730989.97,579387.75,240,2,0,65,185.22,2414.12,0.3988,0.7926,0.2607,0.12,0.7795,100,30,84,1,0.0
APP-000112,6598.72,1954.19,3214.91,570144.5,362861.7,120,3,1,58,1315.61,3023.85,0.2961,0.6364,0.4582,0.4872,1.2416,80,30,41,1,17000.0
APP-000113,3872.61,1030.12,1070.26,284925.37,225411.84,240,2,0,72,8976.33,939.22,0.266,0.7911,0.2425,0.2764,0.7849,100,75,84,0,66000.0
APP-000114,8730.81,1146.28,4629.51,688065.98,423076.66,180,0,0,40,18247.51,2350.43,0.1313,0.6149,0.2692,0.5302,0.9308,80,75,100,0,344000.0
APP-000115,6805.62,1902.8,2035.03,444640.18,284952.82,300,0,0,61,14878.39,949.84,0.2796,0.6409,0.1396,0.299,0.7182,100,75,100,0,144000.0
APP-000116,9244.56,629.19,2421.48,657552.6,569771.05,120,2,0,30,184.89,4748.09,0.0681,0.8665,0.5136,0.2619,0.8436,80,30,84,1,263000.0
APP-000117,8569.93,2646.13,3809.4,616482.96,521979.51,120,2,0,47,1748.69,4349.83,0.3088,0.8467,0.5076,0.4445,1.2608,80,30,84,1,36000.0
APP-000118,13625.69,5628.01,10862.84,1006553.97,632288.2,240,0,0,99,19837.45,2634.53,0.413,0.6282,0.1934,0.7972,1.4036,100,75,100,1,0.0
APP-000119,7734.06,3467.54,4175.19,648932.01,405345.7,240,0,0,20,13873.25,1688.94,0.4483,0.6246,0.2184,0.5398,1.2066,60,75,100,0,0.0
APP-000120,5224.81,1667.72,2308.29,417946.09,265843.99,240,1,0,82,2248.95,1107.68,0.3192,0.6361,0.212,0.4418,0.973,100,55,92,0,36000.0
APP-000121,9073.68,240.61,4331.92,642379.54,523695.52,120,0,0,42,5707.08,4364.13,0.0265,0.8152,0.481,0.4774,0.9849,80,55,100,1,352000.0
APP-000122,9203.99,2279.15,1286.92,510229.89,301036.65,240,2,0,26,1212.97,1254.32,0.2476,0.59,0.1363,0.1398,0.5237,80,30,84,0,190000.0
APP-000123,12849.4,6675.98,3089.32,915109.65,701315.0,120,3,0,27,33953.52,5844.29,0.5196,0.7664,0.4548,0.2404,1.2148,80,75,76,1,0.0
APP-000124,11172.36,1099.3,1340.68,776430.48,634413.64,120,0,0,41,8072.47,5286.78,0.0984,0.8171,0.4732,0.12,0.6916,80,55,100,1,337000.0
APP-000125,9641.99,2041.35,6718.34,708466.9,501968.7,240,0,0,84,11359.83,2091.54,0.2117,0.7085,0.2169,0.6968,1.1254,100,75,100,1,320000.0
APP-000126,13182.57,5508.91,8758.26,1446357.96,1231296.5,180,0,0,60,16152.34,6840.54,0.4179,0.8513,0.5189,0.6644,1.6012,100,75,100,1,0.0
APP-000127,4695.96,1438.84,2267.45,284444.0,193546.99,240,2,0,19,10073.1,806.45,0.3064,0.6804,0.1717,0.4829,0.961,60,75,84,0,41000.0
APP-000128,6452.8,3660.17,2849.67,500744.66,346614.84,120,1,0,80,1889.25,2888.46,0.5672,0.6922,0.4476,0.4416,1.4565,100,30,92,1,0.0
APP-000129,5534.96,649.79,950.6,493897.04,292860.19,120,0,0,72,12184.85,2440.5,0.1174,0.593,0.4409,0.1717,0.7301,100,75,100,0,154000.0
APP-000130,7252.61,590.61,2791.62,520476.46,443567.24,240,0,0,13,145.05,1848.2,0.0814,0.8522,0.2548,0.3849,0.7212,60,30,100,0,416000.0
APP-000131,4094.6,1602.54,2894.0,458928.22,284697.19,180,1,0,25,9004.64,1581.65,0.3914,0.6204,0.3863,0.7068,1.4844,80,75,92,1,0.0
APP-000132,10532.48,553.77,4645.1,665603.35,509499.62,240,1,0,89,210.65,2122.92,0.0526,0.7655,0.2016,0.441,0.6952,100,30,92,1,469000.0
APP-000133,7788.89,1498.99,2567.66,590659.42,419798.72,240,1,0,47,8224.29,1749.16,0.1925,0.7107,0.2246,0.3297,0.7467,80,75,92,0,271000.0
APP-000134,3793.42,799.69,526.18,210995.69,123039.65,120,1,0,80,9911.8,1025.33,0.2108,0.5831,0.2703,0.1387,0.6198,100,75,92,0,58000.0
APP-000135,5250.15,1916.51,3364.55,334290.27,214218.75,240,1,0,8,9332.3,892.58,0.365,0.6408,0.17,0.6408,1.1759,35,75,92,1,0.0
APP-000136,9503.24,2907.97,3884.8,707809.34,636868.01,180,0,0,5,14531.58,3538.16,0.306,0.8998,0.3723,0.4088,1.0871,35,75,100,1,75000.0
APP-000137,11182.01,3175.57,1553.43,953081.12,711203.89,180,1,0,68,2308.26,3951.13,0.284,0.7462,0.3533,0.1389,0.7763,100,30,92,0,122000.0
APP-000138,14889.54,2436.82,4051.7,1127788.87,664053.88,120,1,0,32,7276.2,5533.78,0.1637,0.5888,0.3717,0.2721,0.8074,80,55,92,1,306000.0
APP-000139,17824.36,6953.29,3842.82,1651677.68,1254767.44,240,1,0,70,42064.71,5228.2,0.3901,0.7597,0.2933,0.2156,0.899,100,75,92,0,0.0
APP-000140,9826.11,7369.58,3919.84,671031.2,470396.34,240,3,0,80,15477.16,1959.98,0.75,0.701,0.1995,0.3989,1.3484,100,75,76,1,0.0
APP-000141,5333.48,1689.54,2416.99,341454.42,334625.33,240,1,0,32,10406.81,1394.27,0.3168,0.98,0.2614,0.4532,1.0314,80,75,92,1,39000.0
APP-000142,2500.0,584.89,848.71,296679.33,224605.86,300,1,1,44,3041.04,748.69,0.234,0.7571,0.2995,0.3395,0.8729,80,75,57,1,50000.0
APP-000143,9356.68,358.35,5093.1,721364.94,483688.73,180,2,0,38,8387.71,2687.16,0.0383,0.6705,0.2872,0.5443,0.8698,80,55,84,0,406000.0
APP-000144,5898.59,771.26,2551.78,336510.53,304408.65,300,0,0,32,10853.38,1014.7,0.1308,0.9046,0.172,0.4326,0.7354,80,75,100,0,269000.0
APP-000145,7170.86,1363.04,4230.59,412347.59,198201.18,240,1,0,53,9920.29,825.84,0.1901,0.4807,0.1152,0.59,0.8952,80,75,92,0,182000.0
APP-000146,6541.29,949.51,2373.5,346896.14,254018.73,300,1,0,76,6521.9,846.73,0.1452,0.7323,0.1294,0.3628,0.6374,100,55,92,0,234000.0
APP-000147,8049.47,1752.76,6842.05,699162.79,684673.14,300,2,1,29,160.99,2282.24,0.2177,0.9793,0.2835,0.85,1.3513,80,30,49,1,156000.0
APP-000148,11911.14,5585.4,3926.89,755656.91,532658.09,300,0,1,29,23923.73,1775.53,0.4689,0.7049,0.1491,0.3297,0.9477,80,75,65,1,0.0
APP-000149,9002.56,3552.44,2479.91,650817.46,321940.43,120,1,0,32,13918.16,2682.84,0.3946,0.4947,0.298,0.2755,0.9681,80,75,92,0,0.0
APP-000150,7992.37,1580.6,2044.38,550329.27,367911.99,240,0,0,65,4830.3,1532.97,0.1978,0.6685,0.1918,0.2558,0.6454,100,55,100,1,292000.0
APP-000151,5185.91,263.66,2003.05,431295.7,392085.46,240,0,0,80,11467.74,1633.69,0.0508,0.9091,0.315,0.3862,0.7521,100,75,100,0,345000.0
APP-000152,3141.01,1279.12,455.05,171997.58,132247.06,240,1,0,38,4301.4,551.03,0.4072,0.7689,0.1754,0.1449,0.7275,80,75,92,1,0.0
APP-000153,6943.81,1479.95,3243.66,351632.68,214829.53,180,2,1,11,9631.48,1193.5,0.2131,0.6109,0.1719,0.4671,0.8521,35,75,49,1,84000.0
APP-000154,8327.9,0.0,999.35,616575.35,389008.76,300,1,0,23,16201.97,1296.7,0.0,0.6309,0.1557,0.12,0.2757,60,75,92,0,358000.0
APP-000155,14157.38,4526.68,6312.31,1144160.42,740545.2,180,3,1,36,24801.4,4114.14,0.3197,0.6472,0.2906,0.4459,1.0562,80,75,41,1,32000.0
APP-000156,8916.88,3242.14,1817.26,677554.2,519654.07,240,1,0,26,12611.2,2165.23,0.3636,0.767,0.2428,0.2038,0.8102,80,75,92,1,0.0
APP-000157,11644.77,0.0,4180.39,645467.46,577025.64,240,1,0,19,11415.06,2404.27,0.0,0.894,0.2065,0.359,0.5655,60,55,92,1,475000.0
APP-000158,6902.25,721.72,3566.58,567328.89,486095.9,180,2,1,48,20260.17,2700.53,0.1046,0.8568,0.3913,0.5167,1.0125,80,75,49,1,149000.0
